trigger,size,fatalities,injuries
1,3,11,
2,1,0,
2,3,10,
3,2,1,
5,2,0,
2,2,0,
2,1,0,
5,2,3,
1,2,,
2,2,2,
2,2,4,
0,0,0,0
1,1,0,
2,1,0,0
2,2,0,1
1,1,0,
1,1,0,
1,1,0,
1,1,0,
2,2,0,
1,1,0,
0,1,0,
1,1,0,
1,1,0,
2,2,6,
1,1,0,
1,2,0,
1,2,4,
2,2,7,
2,2,2,
2,2,2,
2,2,2,
2,2,0,
1,1,0,
2,2,0,
2,2,2,
2,2,2,
2,1,0,
2,1,0,
3,2,3,
3,2,2,
2,2,6,
1,1,0,0
2,2,2,
2,2,6,
2,2,0,
3,3,13,
3,2,5,
2,2,,
2,2,,
2,2,,
2,1,0,
2,2,0,
2,1,0,0
2,1,0,
2,1,0,
2,3,22,28
0,0,0,0
2,2,0,
2,2,0,
2,2,0,
5,2,0,
1,2,1,
5,2,0,
5,2,0,
2,4,0,
1,2,2,
2,1,0,
2,2,0,
2,2,2,
1,2,0,
2,2,0,
2,2,0,
5,2,2,
2,2,0,
2,2,0,
2,2,0,
0,1,0,0
1,1,0,0
2,2,0,
2,2,0,
2,2,1,
1,2,1,
5,2,0,
5,2,0,
1,2,0,0
5,2,0,
2,2,0,
2,1,0,
5,2,0,
1,1,0,
1,1,0,
2,2,7,
1,3,0,0
2,2,0,
2,2,0,
1,3,0,0
2,3,,
2,2,,
2,3,20,
2,3,,
2,2,,
0,1,1,0
1,2,,
1,2,1,0
2,2,0,
2,2,0,
1,2,0,
1,2,0,
1,2,0,
1,1,0,0
2,2,0,
1,3,0,0
2,2,0,
2,2,0,
0,2,0,
1,2,0,
0,2,0,
1,2,0,
1,2,0,
4,3,33,0
1,2,1,1
1,2,0,0
2,3,0,0
1,3,4,2
4,2,0,0
2,1,0,0
4,2,1,
4,2,1,0
2,2,0,0
6,3,0,0
4,1,0,0
6,1,0,1
1,3,4,10
4,1,0,0
0,0,2,1
2,2,2,0
2,3,0,0
,2,2,
4,2,1,0
1,2,0,0
2,1,0,0
2,1,0,0
4,3,105,0
2,1,0,0
1,3,11,0
6,1,0,0
2,2,2,
1,2,2,0
0,3,4,5
1,1,3,0
1,1,0,0
1,2,0,0
4,1,0,0
2,1,0,0
2,1,0,0
4,2,1,1
1,1,0,0
1,2,0,0
2,2,2,
4,2,0,0
,,,
6,3,0,0
4,1,0,0
4,2,0,0
4,3,,
1,2,0,0
6,4,0,0
2,2,0,0
4,2,0,0
1,1,1,0
1,2,0,0
0,1,0,0
4,2,0,0
1,2,6,1
0,1,0,0
0,1,0,0
6,1,0,0
1,2,0,0
1,2,,
0,2,0,0
1,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,1,
1,3,0,0
1,1,0,0
1,1,0,0
1,1,0,0
0,1,0,0
0,2,0,0
1,2,6,1
0,1,0,0
1,2,0,0
0,1,0,0
4,1,1,0
6,1,0,0
2,4,0,0
2,2,0,0
1,1,0,0
1,1,2,1
1,2,8,
1,1,0,0
1,1,0,0
6,3,0,0
4,1,0,0
6,2,0,0
1,1,0,0
1,2,0,0
0,1,0,0
4,2,,
2,3,6,0
4,2,1,22
2,2,0,0
0,2,0,0
1,1,0,0
6,1,1,0
1,3,13,
6,2,4,15
2,2,,
0,1,0,0
1,1,0,0
1,1,0,0
0,2,6,
1,2,0,0
1,2,0,0
0,2,0,0
1,2,0,0
0,1,0,0
1,1,0,0
4,2,0,0
1,2,5,0
1,1,0,0
0,1,0,0
4,2,3,1
1,2,0,5
1,1,1,1
6,3,0,0
0,1,0,0
1,2,0,0
2,1,0,0
1,2,3,7
1,1,0,0
0,1,0,0
0,1,0,0
1,2,1,2
1,1,0,0
1,2,2,
2,1,0,0
6,1,0,0
6,1,0,0
1,4,0,0
0,0,0,0
2,3,18,
1,3,0,0
2,1,0,1
1,1,0,0
1,1,0,0
1,1,0,1
1,2,0,0
1,1,0,0
3,2,0,0
2,1,0,0
6,1,0,0
2,2,0,0
6,2,0,0
4,1,0,0
1,2,8,9
0,1,1,2
6,2,,
1,1,1,2
0,0,0,0
0,3,0,0
2,2,2,
2,3,50,
0,2,0,0
4,2,0,1
1,1,,
5,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,1,0,0
1,2,1,8
6,2,0,0
0,0,0,0
1,1,0,0
4,2,,
0,1,0,0
1,1,0,0
1,3,0,1
1,2,0,0
0,1,0,0
1,1,0,0
1,1,0,3
1,3,23,
4,2,0,0
1,3,2,5
6,2,0,0
2,3,0,0
0,2,0,0
0,1,0,0
0,2,0,0
6,1,0,0
1,2,2,
5,2,2,
4,2,0,0
1,2,9,
6,2,4,1
0,3,2,0
6,2,2,2
6,2,0,0
0,1,0,0
1,1,2,
4,2,0,0
1,1,0,0
4,2,0,0
2,1,0,0
0,1,0,0
1,2,0,0
6,1,0,0
6,1,0,0
1,2,3,1
6,5,4,9
2,3,18,
2,1,0,0
1,1,0,0
2,1,0,0
0,3,0,0
4,2,0,0
4,1,0,0
6,3,0,0
1,2,0,0
4,1,0,0
0,1,0,0
6,2,,
1,2,0,0
6,3,,
0,1,0,0
1,1,0,7
2,3,0,0
4,1,0,0
1,1,0,0
4,2,6,
1,1,,0
6,1,0,0
2,2,1,1
6,1,0,0
1,1,0,0
1,1,0,0
4,2,0,0
1,2,0,0
1,2,1,1
6,1,0,0
1,4,0,0
1,1,0,0
1,2,3,0
1,2,0,1
1,1,0,0
1,1,,
1,3,0,0
1,1,0,0
0,0,0,0
0,2,1,0
1,1,0,0
2,1,0,0
2,1,0,0
4,3,0,0
1,2,1,1
2,1,0,0
2,2,0,0
1,1,2,0
2,1,0,0
1,1,0,0
0,2,1,1
2,4,0,0
1,1,0,0
1,1,1,0
4,2,0,0
0,2,0,0
3,3,46,0
4,2,3,0
6,3,4,0
1,3,7,0
4,1,1,0
0,0,0,0
2,2,0,0
1,2,0,0
6,2,7,0
4,2,0,0
1,2,0,0
1,1,1,0
2,1,0,0
2,2,1,0
0,1,0,0
2,1,0,0
0,1,0,0
2,1,0,0
1,1,0,0
1,1,0,0
4,2,3,3
1,1,0,0
0,1,0,0
1,1,1,0
1,2,12,
0,1,0,0
5,2,0,0
1,1,0,0
1,3,0,0
4,3,38,0
4,1,1,0
1,2,0,1
2,2,0,0
1,2,0,0
1,1,0,0
1,2,0,0
2,1,0,0
2,3,5,19
4,2,4,0
1,1,0,0
1,1,1,3
1,1,0,0
0,2,0,0
1,1,0,0
1,2,0,0
1,2,0,0
0,4,8,0
2,3,1,
5,2,1,
0,2,0,0
5,2,,
0,2,1,
4,1,0,0
6,1,0,3
